customer_id,signup_date,tenure_days,subscription_tier,monthly_reoccuring_revenue,company_size,industry,logins_30d,session_duration_avg,features_used,power_feature_usage,days_since_last_login,support_tickets_30d,ticket_sentiment,net_promoter_score,payment_failures,usage_vs_plan,churned
cust_00000,2025-04-22,132,basic,49,1-10,retail,23,33.9,5,4,0,1,0.47,7,0,0.53,0
cust_00001,2025-05-03,121,free,0,1-10,finance,21,44.4,3,0,1,0,0.78,8,0,0.55,0
cust_00002,2024-07-19,409,free,0,1-10,tech,19,39.1,9,0,10,2,0.38,7,0,0.79,0
cust_00003,2024-01-27,583,free,0,1-10,other,23,50.7,8,0,0,0,0.83,8,0,0.76,0
cust_00004,2023-11-09,662,basic,49,51-200,tech,15,40.4,5,1,0,1,0.3,8,0,0.94,0
cust_00005,2024-06-13,445,basic,49,1-10,finance,10,84.2,9,3,2,1,0.32,10,0,0.68,0
cust_00006,2025-08-01,31,premium,199,200+,healthcare,22,60.6,8,1,1,1,0.42,9,0,0.68,0
cust_00007,2024-04-20,499,free,0,1-10,other,11,59.6,7,0,7,0,0.88,10,0,0.87,0
cust_00008,2025-01-24,220,free,0,1-10,tech,2,5.0,2,0,18,0,0.41,8,1,0.23,1
cust_00009,2024-06-21,437,premium,199,11-50,healthcare,9,32.3,3,2,2,1,0.64,7,0,0.43,0
cust_00010,2024-08-18,379,basic,49,11-50,retail,19,38.4,9,2,1,1,0.28,7,0,0.42,0
cust_00011,2024-05-07,482,free,0,1-10,finance,2,15.5,2,0,15,0,0.61,10,0,0.39,1
cust_00012,2023-09-13,719,basic,49,1-10,retail,13,10.0,8,3,2,0,0.71,7,0,0.54,0
cust_00013,2025-04-29,125,free,0,200+,other,13,59.1,3,0,8,1,0.64,8,0,0.56,0
cust_00014,2025-07-09,54,basic,49,1-10,other,15,35.7,8,3,1,1,0.46,9,0,0.54,0
cust_00015,2024-02-19,560,free,0,11-50,tech,8,16.2,11,0,2,0,0.33,8,0,0.59,0
cust_00016,2025-02-06,207,free,0,1-10,tech,0,22.6,3,0,31,0,0.32,8,0,0.49,1
cust_00017,2025-03-10,175,premium,199,1-10,healthcare,20,12.7,9,4,0,0,0.73,9,0,0.79,0
cust_00018,2024-05-25,464,premium,199,11-50,other,21,119.4,7,1,2,0,0.58,8,0,0.72,0
cust_00019,2024-07-25,403,basic,49,1-10,healthcare,13,34.7,6,2,1,0,0.81,7,0,0.73,0
cust_00020,2023-09-11,721,free,0,1-10,finance,21,10.0,6,0,1,0,0.43,7,0,0.89,0
cust_00021,2025-01-03,241,free,0,1-10,healthcare,13,10.0,4,0,2,1,0.76,7,0,0.86,0
cust_00022,2024-12-03,272,free,0,11-50,other,19,37.2,10,0,2,1,0.62,8,0,0.65,0
cust_00023,2024-11-15,290,free,0,200+,finance,13,43.9,7,0,0,0,0.77,9,0,0.69,0
cust_00024,2025-03-24,161,free,0,11-50,healthcare,13,41.6,7,0,6,0,0.72,9,0,0.95,0
cust_00025,2024-05-19,470,free,0,1-10,retail,1,5.0,2,0,19,1,0.69,9,0,0.23,1
cust_00026,2025-05-26,98,basic,49,200+,finance,12,15.5,5,0,0,2,0.37,7,0,0.5,0
cust_00027,2025-08-02,30,premium,199,11-50,healthcare,15,23.5,6,3,2,1,0.66,7,0,0.93,0
cust_00028,2023-09-14,718,basic,49,51-200,healthcare,15,70.0,9,3,4,3,0.59,8,0,0.51,0
cust_00029,2024-09-09,357,free,0,51-200,tech,14,27.8,3,0,0,0,0.33,9,0,0.63,0
cust_00030,2024-03-07,543,premium,199,11-50,finance,20,37.8,9,0,6,1,0.78,9,0,0.85,0
cust_00031,2025-06-23,70,free,0,11-50,healthcare,14,65.7,4,0,0,0,0.4,8,0,0.8,0
cust_00032,2024-12-19,256,premium,199,1-10,other,24,22.4,6,0,10,0,0.27,8,0,0.84,0
cust_00033,2025-07-17,46,premium,199,11-50,tech,12,51.7,8,5,5,1,0.78,7,0,0.73,0
cust_00034,2023-11-22,649,free,0,1-10,healthcare,16,10.0,10,0,2,3,0.49,9,0,0.53,0
cust_00035,2025-07-31,32,free,0,1-10,other,0,25.1,8,0,1,4,-0.47,2,0,0.12,1
cust_00036,2024-03-15,535,basic,49,1-10,tech,1,7.2,2,0,2,6,-0.21,2,0,0.23,1
cust_00037,2025-02-08,205,free,0,1-10,tech,12,51.0,11,0,0,0,0.72,7,0,0.85,0
cust_00038,2023-12-23,618,basic,49,1-10,tech,13,35.7,6,2,0,4,0.73,7,0,0.41,0
cust_00039,2023-10-27,675,free,0,51-200,tech,19,22.3,11,0,0,2,0.53,9,0,0.49,0
cust_00040,2023-10-16,686,free,0,1-10,finance,2,6.5,1,0,15,4,-0.17,4,0,0.3,1
cust_00041,2024-03-26,524,basic,49,1-10,healthcare,16,32.1,3,1,0,0,0.29,9,0,0.78,0
cust_00042,2025-03-13,172,free,0,1-10,tech,20,20.5,8,0,0,0,0.31,10,0,0.52,0
cust_00043,2024-01-14,596,free,0,51-200,other,1,14.7,4,0,19,5,-0.22,4,0,0.4,1
cust_00044,2024-10-12,324,free,0,11-50,other,11,83.2,9,0,1,1,0.66,8,0,0.83,0
cust_00045,2023-09-27,705,premium,199,11-50,tech,5,16.2,1,0,0,2,-0.41,3,0,0.57,1
cust_00046,2025-02-23,190,basic,49,1-10,tech,10,70.9,12,2,8,1,0.35,9,0,0.62,0
cust_00047,2025-05-26,98,basic,49,1-10,tech,0,8.4,7,0,15,0,0.64,9,1,0.38,1
cust_00048,2023-12-07,634,free,0,1-10,finance,20,18.3,6,0,4,1,0.87,7,0,0.51,0
cust_00049,2024-09-01,365,basic,49,51-200,tech,19,63.1,5,2,2,0,0.87,8,0,0.84,0
cust_00050,2024-07-14,414,free,0,11-50,tech,4,5.0,5,0,8,0,0.36,10,0,0.34,1
cust_00051,2023-10-12,690,free,0,1-10,healthcare,10,40.7,8,0,0,0,0.83,7,0,0.58,0
cust_00052,2025-05-25,99,free,0,1-10,healthcare,17,27.0,7,0,4,0,0.67,10,0,0.91,0
cust_00053,2024-12-09,266,free,0,200+,tech,20,58.1,3,0,1,0,0.44,7,0,0.68,0
cust_00054,2025-02-04,209,free,0,200+,other,15,43.9,4,0,0,0,0.87,9,0,0.91,0
cust_00055,2024-11-23,282,premium,199,200+,finance,8,49.0,9,2,0,1,0.24,10,0,0.43,0
cust_00056,2025-06-08,85,free,0,11-50,tech,1,8.5,5,0,11,0,0.32,8,0,0.58,1
cust_00057,2025-02-01,212,free,0,11-50,tech,4,6.4,2,0,10,0,0.43,9,1,0.34,1
cust_00058,2024-05-24,465,premium,199,1-10,other,18,10.0,7,0,4,1,0.27,7,0,0.68,0
cust_00059,2024-12-14,261,free,0,1-10,finance,12,49.2,10,0,0,2,0.89,9,0,0.72,0
cust_00060,2024-08-17,380,basic,49,11-50,tech,3,39.1,3,0,15,0,0.88,9,0,0.38,1
cust_00061,2023-10-10,692,basic,49,1-10,healthcare,15,10.0,6,3,1,1,0.59,9,0,0.74,0
cust_00062,2025-05-29,95,free,0,51-200,healthcare,3,5.0,5,0,0,1,0.76,7,0,0.39,1
cust_00063,2024-03-05,545,basic,49,51-200,tech,2,9.5,5,0,19,0,0.46,7,0,0.5,1
cust_00064,2024-10-04,332,premium,199,200+,healthcare,16,50.7,3,2,1,1,0.5,10,0,0.86,0
cust_00065,2025-06-15,78,free,0,200+,retail,1,5.0,2,0,4,0,0.23,8,1,0.24,1
cust_00066,2024-11-06,299,free,0,1-10,retail,10,10.0,6,0,0,2,0.66,7,0,0.71,0
cust_00067,2024-07-28,400,premium,199,11-50,finance,18,21.2,9,2,2,1,0.24,10,0,0.51,0
cust_00068,2024-07-08,420,premium,199,11-50,retail,16,26.9,7,1,1,1,0.42,9,0,0.51,0
cust_00069,2024-12-08,267,basic,49,1-10,healthcare,1,18.0,2,1,32,1,0.88,8,0,0.59,1
cust_00070,2024-02-17,562,basic,49,1-10,other,11,43.6,10,2,0,0,0.7,8,0,0.9,0
cust_00071,2024-09-30,336,free,0,51-200,healthcare,3,5.0,3,0,15,1,0.41,7,0,0.12,1
cust_00072,2023-11-13,658,free,0,51-200,other,1,5.0,2,0,7,1,0.21,8,0,0.11,1
cust_00073,2023-11-28,643,free,0,51-200,tech,19,43.7,4,0,1,0,0.72,7,0,0.9,0
cust_00074,2024-03-07,543,basic,49,11-50,other,20,29.2,10,2,2,1,0.62,9,0,0.73,0
cust_00075,2023-10-04,698,basic,49,11-50,tech,12,36.2,11,3,1,0,0.48,7,0,0.55,0
cust_00076,2024-08-24,373,free,0,11-50,tech,1,5.0,5,0,46,1,0.65,7,0,0.23,1
cust_00077,2023-09-14,718,basic,49,11-50,tech,8,18.0,8,1,6,0,0.57,7,0,0.41,0
cust_00078,2024-11-08,297,free,0,11-50,healthcare,17,66.4,12,0,1,0,0.82,8,0,0.48,0
cust_00079,2023-10-04,698,basic,49,1-10,tech,16,80.6,6,2,1,0,0.3,8,0,0.47,0
cust_00080,2025-04-03,151,free,0,200+,finance,14,11.0,7,0,1,0,0.88,9,0,0.59,0
cust_00081,2023-12-08,633,basic,49,200+,tech,14,19.1,8,2,3,0,0.22,10,0,0.92,0
cust_00082,2023-10-07,695,premium,199,11-50,other,15,74.6,8,3,7,0,0.53,9,0,0.8,0
cust_00083,2024-01-15,595,basic,49,11-50,healthcare,1,5.0,1,0,15,0,0.2,10,0,0.51,1
cust_00084,2025-01-14,230,basic,49,51-200,healthcare,0,13.2,3,0,1,0,0.76,9,1,0.13,1
cust_00085,2024-05-10,479,basic,49,11-50,tech,20,17.3,5,4,2,0,0.36,8,0,0.56,0
cust_00086,2025-07-04,59,basic,49,1-10,retail,13,19.6,3,2,0,0,0.39,10,0,0.57,0
cust_00087,2023-11-30,641,premium,199,200+,finance,10,46.7,9,3,0,1,0.2,10,0,0.5,0
cust_00088,2024-07-02,426,free,0,51-200,finance,1,10.7,2,0,9,0,0.26,7,1,0.43,1
cust_00089,2025-06-15,78,free,0,11-50,tech,15,32.8,8,0,4,1,0.39,7,0,0.56,0
cust_00090,2025-07-01,62,basic,49,1-10,healthcare,19,58.0,7,3,2,1,0.59,10,0,0.51,0
cust_00091,2025-05-05,119,free,0,1-10,healthcare,12,27.6,4,0,2,0,0.29,10,0,0.69,0
cust_00092,2025-07-19,44,free,0,200+,other,21,38.5,10,0,1,1,0.35,7,0,0.41,0
cust_00093,2023-11-22,649,basic,49,200+,other,12,14.2,3,2,3,0,0.43,10,0,0.8,0
cust_00094,2023-12-09,632,free,0,1-10,finance,0,5.0,4,0,12,0,0.79,10,0,0.54,1
cust_00095,2024-06-25,433,free,0,11-50,tech,15,54.4,11,0,5,0,0.25,7,0,0.92,0
cust_00096,2024-06-08,450,free,0,1-10,retail,3,7.1,1,0,19,0,0.34,7,1,0.32,1
cust_00097,2024-07-15,413,free,0,51-200,other,11,87.0,7,0,0,0,0.41,9,0,0.82,0
cust_00098,2025-04-23,131,basic,49,51-200,tech,2,5.0,1,1,1,1,0.5,9,0,0.26,1
cust_00099,2024-04-16,503,free,0,51-200,retail,12,38.6,8,0,6,0,0.42,8,0,0.88,0
cust_00100,2024-09-24,342,basic,49,1-10,healthcare,13,19.4,6,4,0,0,0.73,7,0,0.55,0
cust_00101,2024-08-30,367,premium,199,200+,tech,16,16.7,9,3,2,1,0.46,9,0,0.65,0
cust_00102,2024-08-16,381,basic,49,1-10,tech,12,41.0,6,1,4,1,0.38,8,0,0.8,0
cust_00103,2024-11-28,277,free,0,11-50,healthcare,1,5.0,3,0,13,4,-0.15,1,0,0.49,1
cust_00104,2024-07-12,416,basic,49,51-200,retail,13,70.9,9,1,1,0,0.24,8,0,0.91,0
cust_00105,2025-01-08,236,free,0,51-200,tech,14,35.6,10,0,3,0,0.39,7,0,0.58,0
cust_00106,2025-03-19,166,free,0,51-200,finance,2,10.2,5,0,23,0,0.58,8,0,0.31,1
cust_00107,2024-06-13,445,premium,199,1-10,finance,12,36.3,11,1,1,0,0.68,7,0,0.62,0
cust_00108,2024-10-02,334,basic,49,51-200,other,18,42.3,8,1,1,1,0.4,7,0,0.42,0
cust_00109,2024-03-03,547,free,0,11-50,other,16,19.5,6,0,0,1,0.2,10,0,0.83,0
cust_00110,2025-06-16,77,free,0,51-200,healthcare,1,5.0,9,0,9,2,-0.28,1,0,0.21,1
cust_00111,2023-12-06,635,premium,199,51-200,retail,16,39.9,8,6,0,0,0.52,8,0,0.63,0
cust_00112,2023-12-04,637,free,0,11-50,tech,12,56.9,5,0,1,1,0.42,9,0,0.53,0
cust_00113,2025-02-18,195,free,0,200+,retail,14,12.1,11,0,2,1,0.86,9,0,0.92,0
cust_00114,2025-01-26,218,basic,49,11-50,finance,16,24.1,9,2,2,0,0.84,9,0,0.73,0
cust_00115,2025-03-06,179,basic,49,1-10,tech,17,52.6,9,2,3,1,0.59,10,0,0.63,0
cust_00116,2024-01-11,599,free,0,11-50,tech,1,9.0,1,0,24,0,0.44,10,0,0.18,1
cust_00117,2024-04-19,500,free,0,51-200,retail,2,33.2,3,0,3,0,0.58,10,0,0.43,1
cust_00118,2025-04-19,135,free,0,11-50,retail,13,10.0,8,0,0,0,0.46,9,0,0.48,0
cust_00119,2024-06-07,451,premium,199,1-10,other,19,28.5,7,3,2,0,0.24,8,0,0.53,0
cust_00120,2024-04-09,510,basic,49,1-10,tech,17,35.4,9,2,2,0,0.8,10,0,0.95,0
cust_00121,2025-06-20,73,free,0,11-50,tech,19,42.6,7,0,0,1,0.74,7,0,0.59,0
cust_00122,2025-03-07,178,premium,199,11-50,other,18,61.5,5,3,7,0,0.26,7,0,0.73,0
cust_00123,2024-04-18,501,free,0,11-50,other,4,10.1,4,0,1,6,-0.16,0,0,0.44,1
cust_00124,2024-11-26,279,free,0,51-200,healthcare,15,10.8,6,0,1,0,0.61,7,0,0.89,0
cust_00125,2024-03-07,543,basic,49,1-10,healthcare,26,23.4,10,2,0,0,0.53,8,0,0.86,0
cust_00126,2024-08-02,395,free,0,1-10,healthcare,3,5.0,5,0,4,2,-0.01,4,0,0.22,1
cust_00127,2023-09-28,704,free,0,51-200,retail,17,18.2,5,0,6,0,0.36,9,0,0.8,0
cust_00128,2025-01-14,230,free,0,51-200,tech,3,8.6,1,0,43,1,0.04,3,0,0.32,1
cust_00129,2024-06-05,453,basic,49,1-10,other,12,40.8,9,1,6,0,0.55,10,0,0.83,0
